GeneID,Chromosome,Start,End,Strand,Length,Class,Assembly,Old_GeneID,Description,Name
SAUSA300_RS12975,NC_007793.1,2527584,2528051,-,468,protein_coding,GCF_000013465.1,SAUSA300_2350,glutathione S-transferase,NA
SAUSA300_RS12980,NC_007793.1,2528237,2529787,-,1551,protein_coding,GCF_000013465.1,SAUSA300_2351,zinc ABC transporter substrate-binding lipoprotein AdcA,adcA
SAUSA300_RS15830,NC_007793.1,2529976,2530047,-,72,pseudogene,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS12985,NC_007793.1,2530082,2530348,-,267,protein_coding,GCF_000013465.1,SAUSA300_2352,Txe/YoeB family addiction module toxin,NA
SAUSA300_RS12990,NC_007793.1,2530348,2530599,-,252,protein_coding,GCF_000013465.1,SAUSA300_2353,type II toxin-antitoxin system Phd/YefM family antitoxin,NA
SAUSA300_RS12995,NC_007793.1,2530764,2530865,-,102,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13000,NC_007793.1,2530872,2531471,-,600,protein_coding,GCF_000013465.1,SAUSA300_2354,DsbA family protein,NA
SAUSA300_RS13005,NC_007793.1,2531490,2531849,-,360,protein_coding,GCF_000013465.1,SAUSA300_2355,DUF4467 domain-containing protein,NA
SAUSA300_RS13010,NC_007793.1,2532104,2533354,+,1251,protein_coding,GCF_000013465.1,SAUSA300_2356,FemA/FemB family glycyltransferase FmhA,fmhA
SAUSA300_RS13015,NC_007793.1,2533451,2534182,-,732,protein_coding,GCF_000013465.1,SAUSA300_2357,amino acid ABC transporter ATP-binding protein,NA
SAUSA300_RS13020,NC_007793.1,2534179,2534898,-,720,protein_coding,GCF_000013465.1,SAUSA300_2358,amino acid ABC transporter permease,NA
SAUSA300_RS13025,NC_007793.1,2534879,2535658,-,780,protein_coding,GCF_000013465.1,SAUSA300_2359,transporter substrate-binding domain-containing protein,NA
SAUSA300_RS13030,NC_007793.1,2535779,2537218,-,1440,protein_coding,GCF_000013465.1,SAUSA300_2360,multidrug efflux MFS transporter MdeA,mdeA
SAUSA300_RS13040,NC_007793.1,2537392,2537496,+,105,protein_coding,GCF_000013465.1,SAUSA300_2361,hypothetical protein,NA
SAUSA300_RS13045,NC_007793.1,2537650,2538336,-,687,protein_coding,GCF_000013465.1,SAUSA300_2362,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase",NA
SAUSA300_RS13050,NC_007793.1,2538663,2539529,-,867,protein_coding,GCF_000013465.1,SAUSA300_2363,cation transporter,NA
SAUSA300_RS13055,NC_007793.1,2540082,2540186,-,105,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13060,NC_007793.1,2540281,2541591,+,1311,protein_coding,GCF_000013465.1,SAUSA300_2364,immunoglobulin-binding protein Sbi,sbi
SAUSA300_RS15585,NC_007793.1,2541810,2541992,-,183,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13070,NC_007793.1,2542127,2543056,+,930,protein_coding,GCF_000013465.1,SAUSA300_2365,bi-component gamma-hemolysin HlgAB subunit A,hlgA
SAUSA300_RS13075,NC_007793.1,2543623,2544570,+,948,protein_coding,GCF_000013465.1,SAUSA300_2366,bi-component gamma-hemolysin HlgCB subunit C,hlgC
SAUSA300_RS13080,NC_007793.1,2544572,2545549,+,978,protein_coding,GCF_000013465.1,SAUSA300_2367,bi-component gamma-hemolysin HlgAB/HlgCB subunit B,hlgB
SAUSA300_RS13085,NC_007793.1,2545601,2546068,-,468,protein_coding,GCF_000013465.1,SAUSA300_2368,QueT transporter family protein,NA
SAUSA300_RS13090,NC_007793.1,2546079,2546771,-,693,protein_coding,GCF_000013465.1,SAUSA300_2369,6-carboxyhexanoate--CoA ligase,NA
SAUSA300_RS13095,NC_007793.1,2546782,2547897,-,1116,protein_coding,GCF_000013465.1,SAUSA300_2370,pyridoxal phosphate-dependent aminotransferase family protein,NA
SAUSA300_RS13100,NC_007793.1,2547875,2548882,-,1008,protein_coding,GCF_000013465.1,SAUSA300_2371,biotin synthase BioB,NA
SAUSA300_RS13105,NC_007793.1,2548884,2550242,-,1359,protein_coding,GCF_000013465.1,SAUSA300_2372,adenosylmethionine--8-amino-7-oxononanoate transaminase,bioA
SAUSA300_RS13110,NC_007793.1,2550220,2550906,-,687,protein_coding,GCF_000013465.1,SAUSA300_2373,dethiobiotin synthase,bioD
SAUSA300_RS13115,NC_007793.1,2550960,2551127,-,168,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13125,NC_007793.1,2551358,2553091,-,1734,protein_coding,GCF_000013465.1,SAUSA300_2374,ABC transporter ATP-binding protein,NA
SAUSA300_RS13130,NC_007793.1,2553116,2554879,-,1764,protein_coding,GCF_000013465.1,SAUSA300_2375,ABC transporter ATP-binding protein,NA
SAUSA300_RS13140,NC_007793.1,2555507,2555614,-,108,protein_coding,GCF_000013465.1,NA,type I toxin-antitoxin system Fst family toxin,NA
SAUSA300_RS13145,NC_007793.1,2555748,2556134,-,387,protein_coding,GCF_000013465.1,SAUSA300_2376,GtrA family protein,NA
SAUSA300_RS13150,NC_007793.1,2556402,2557544,+,1143,protein_coding,GCF_000013465.1,SAUSA300_2377,glycerate kinase,NA
SAUSA300_RS13155,NC_007793.1,2557604,2558263,+,660,protein_coding,GCF_000013465.1,SAUSA300_2378,membrane protein,NA
SAUSA300_RS13160,NC_007793.1,2558445,2559656,+,1212,protein_coding,GCF_000013465.1,SAUSA300_2379,multidrug effflux MFS transporter,NA
SAUSA300_RS13165,NC_007793.1,2559779,2560252,-,474,protein_coding,GCF_000013465.1,SAUSA300_2380,AraC family transcriptional regulator,NA
SAUSA300_RS13170,NC_007793.1,2560365,2561021,+,657,protein_coding,GCF_000013465.1,SAUSA300_2381,hypothetical protein,NA
SAUSA300_RS13175,NC_007793.1,2561084,2561890,-,807,protein_coding,GCF_000013465.1,SAUSA300_2382,phosphohydrolase,NA
SAUSA300_RS13180,NC_007793.1,2562176,2563585,+,1410,protein_coding,GCF_000013465.1,SAUSA300_2383,amino acid permease,NA
SAUSA300_RS13185,NC_007793.1,2563723,2565801,+,2079,protein_coding,GCF_000013465.1,SAUSA300_2384,sodium:proton antiporter,NA
SAUSA300_RS13195,NC_007793.1,2565941,2567770,-,1830,protein_coding,GCF_000013465.1,SAUSA300_2385,APC family permease,NA
SAUSA300_RS13205,NC_007793.1,2568002,2569498,+,1497,protein_coding,GCF_000013465.1,SAUSA300_2386,protein flp,NA
SAUSA300_RS13210,NC_007793.1,2569590,2570441,-,852,protein_coding,GCF_000013465.1,SAUSA300_2387,NAD(P)-dependent oxidoreductase,NA
SAUSA300_RS13220,NC_007793.1,2570763,2571698,-,936,protein_coding,GCF_000013465.1,SAUSA300_2388,2-dehydropantoate 2-reductase,NA
SAUSA300_RS13225,NC_007793.1,2571924,2573324,-,1401,protein_coding,GCF_000013465.1,SAUSA300_2389,MFS transporter,NA
SAUSA300_RS13230,NC_007793.1,2573618,2574313,-,696,protein_coding,GCF_000013465.1,SAUSA300_2390,ABC transporter permease,NA
SAUSA300_RS13235,NC_007793.1,2574313,2575254,-,942,protein_coding,GCF_000013465.1,SAUSA300_2391,osmoprotectant ABC transporter substrate-binding protein,NA
SAUSA300_RS13240,NC_007793.1,2575271,2575906,-,636,protein_coding,GCF_000013465.1,SAUSA300_2392,ABC transporter permease,NA
SAUSA300_RS13245,NC_007793.1,2575903,2577129,-,1227,protein_coding,GCF_000013465.1,SAUSA300_2393,ABC transporter ATP-binding protein,NA
SAUSA300_RS13250,NC_007793.1,2577456,2577575,-,120,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13255,NC_007793.1,2577655,2577795,-,141,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13260,NC_007793.1,2577799,2578398,-,600,protein_coding,GCF_000013465.1,SAUSA300_2394,hypothetical protein,NA
SAUSA300_RS13265,NC_007793.1,2578578,2580215,+,1638,protein_coding,GCF_000013465.1,SAUSA300_2395,APC family permease,NA
SAUSA300_RS13270,NC_007793.1,2580823,2582175,+,1353,protein_coding,GCF_000013465.1,SAUSA300_2396,carboxylesterase/lipase family protein,NA
SAUSA300_RS13275,NC_007793.1,2582237,2583415,-,1179,protein_coding,GCF_000013465.1,SAUSA300_2397,MFS transporter,NA
SAUSA300_RS13280,NC_007793.1,2583820,2584596,-,777,protein_coding,GCF_000013465.1,SAUSA300_2398,iron export ABC transporter permease subunit FetB,fetB
SAUSA300_RS13285,NC_007793.1,2584589,2585251,-,663,protein_coding,GCF_000013465.1,SAUSA300_2399,ATP-binding cassette domain-containing protein,NA
SAUSA300_RS13290,NC_007793.1,2585499,2586575,-,1077,protein_coding,GCF_000013465.1,SAUSA300_2400,M42 family metallopeptidase,NA
SAUSA300_RS13295,NC_007793.1,2586930,2587196,-,267,protein_coding,GCF_000013465.1,SAUSA300_2401,Txe/YoeB family addiction module toxin,NA
SAUSA300_RS13300,NC_007793.1,2587196,2587453,-,258,protein_coding,GCF_000013465.1,SAUSA300_2402,type II toxin-antitoxin system Phd/YefM family antitoxin,NA
SAUSA300_RS13305,NC_007793.1,2587559,2587753,-,195,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13310,NC_007793.1,2587812,2588267,+,456,protein_coding,GCF_000013465.1,SAUSA300_2403,DUF1307 domain-containing protein,NA
SAUSA300_RS13315,NC_007793.1,2588435,2590012,-,1578,protein_coding,GCF_000013465.1,SAUSA300_2404,FMN-binding glutamate synthase family protein,NA
SAUSA300_RS13320,NC_007793.1,2590207,2590956,+,750,protein_coding,GCF_000013465.1,SAUSA300_2405,hypothetical protein,NA
SAUSA300_RS13325,NC_007793.1,2591180,2592373,-,1194,protein_coding,GCF_000013465.1,SAUSA300_2406,MFS transporter,NA
SAUSA300_RS13330,NC_007793.1,2592385,2593134,-,750,protein_coding,GCF_000013465.1,SAUSA300_2407,ABC transporter ATP-binding protein,NA
SAUSA300_RS13335,NC_007793.1,2593127,2593942,-,816,protein_coding,GCF_000013465.1,SAUSA300_2408,ABC transporter ATP-binding protein,NA
SAUSA300_RS13340,NC_007793.1,2593939,2594808,-,870,protein_coding,GCF_000013465.1,SAUSA300_2409,ABC transporter permease,NA
SAUSA300_RS13345,NC_007793.1,2594805,2595740,-,936,protein_coding,GCF_000013465.1,SAUSA300_2410,ABC transporter permease,NA
SAUSA300_RS13350,NC_007793.1,2595753,2597351,-,1599,protein_coding,GCF_000013465.1,SAUSA300_2411,staphylopine-dependent metal ABC transporter substrate-binding protein CntA,cntA
SAUSA300_RS13355,NC_007793.1,2597494,2598795,-,1302,protein_coding,GCF_000013465.1,SAUSA300_2412,staphylopine dehydrogenase CntM,cntM
SAUSA300_RS13360,NC_007793.1,2598788,2599606,-,819,protein_coding,GCF_000013465.1,SAUSA300_2413,D-histidine (S)-2-aminobutanoyltransferase CntL,cntL
SAUSA300_RS13365,NC_007793.1,2599617,2600438,-,822,protein_coding,GCF_000013465.1,SAUSA300_2414,histidine racemase CntK,cntK
SAUSA300_RS13370,NC_007793.1,2601305,2601670,-,366,protein_coding,GCF_000013465.1,SAUSA300_2415,hypothetical protein,NA
SAUSA300_RS13375,NC_007793.1,2601933,2602751,-,819,pseudogene,GCF_000013465.1,SAUSA300_2416,SDR family oxidoreductase,NA
SAUSA300_RS13380,NC_007793.1,2602984,2604522,+,1539,protein_coding,GCF_000013465.1,SAUSA300_2417,AbgT family transporter,NA
SAUSA300_RS13385,NC_007793.1,2604634,2605056,-,423,protein_coding,GCF_000013465.1,SAUSA300_2418,carboxymuconolactone decarboxylase family protein,NA
SAUSA300_RS13390,NC_007793.1,2605508,2605927,-,420,protein_coding,GCF_000013465.1,SAUSA300_2419,DUF1433 domain-containing protein,NA
SAUSA300_RS13395,NC_007793.1,2605945,2606364,-,420,protein_coding,GCF_000013465.1,SAUSA300_2420,DUF1433 domain-containing protein,NA
SAUSA300_RS13400,NC_007793.1,2606318,2606539,+,222,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13405,NC_007793.1,2606631,2607053,-,423,protein_coding,GCF_000013465.1,SAUSA300_2421,DUF1433 domain-containing protein,NA
SAUSA300_RS13410,NC_007793.1,2607304,2607999,-,696,protein_coding,GCF_000013465.1,SAUSA300_2422,oxidoreductase,NA
SAUSA300_RS13415,NC_007793.1,2608288,2608569,+,282,protein_coding,GCF_000013465.1,NA,single-stranded DNA-binding protein,NA
SAUSA300_RS13420,NC_007793.1,2608505,2608690,+,186,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13425,NC_007793.1,2608829,2609020,-,192,protein_coding,GCF_000013465.1,SAUSA300_2423,hypothetical protein,NA
SAUSA300_RS15610,NC_007793.1,2609455,2609577,+,123,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13430,NC_007793.1,2609581,2610375,-,795,protein_coding,GCF_000013465.1,SAUSA300_2424,tandem-type lipoprotein,NA
SAUSA300_RS15835,NC_007793.1,2610487,2610594,-,108,pseudogene,GCF_000013465.1,NA,Csa1 family protein,NA
SAUSA300_RS13435,NC_007793.1,2610911,2611198,-,288,protein_coding,GCF_000013465.1,SAUSA300_2425,hypothetical protein,NA
SAUSA300_RS13440,NC_007793.1,2611201,2611527,-,327,protein_coding,GCF_000013465.1,SAUSA300_2426,hypothetical protein,NA
SAUSA300_RS13450,NC_007793.1,2611527,2612851,-,1325,pseudogene,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13455,NC_007793.1,2612848,2613632,-,785,pseudogene,GCF_000013465.1,NA,tandem-type lipoprotein,NA
SAUSA300_RS13460,NC_007793.1,2613744,2614517,-,774,protein_coding,GCF_000013465.1,SAUSA300_2430,tandem-type lipoprotein,NA
SAUSA300_RS13465,NC_007793.1,2614823,2617684,-,2862,protein_coding,GCF_000013465.1,SAUSA300_2431,DUF3427 domain-containing protein,NA
SAUSA300_RS13470,NC_007793.1,2617686,2618078,-,393,protein_coding,GCF_000013465.1,SAUSA300_2432,(deoxy)nucleoside triphosphate pyrophosphohydrolase,NA
SAUSA300_RS13475,NC_007793.1,2618195,2620003,+,1809,protein_coding,GCF_000013465.1,SAUSA300_2433,phospho-sugar mutase,NA
SAUSA300_RS13480,NC_007793.1,2620287,2620553,+,267,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13485,NC_007793.1,2620697,2621005,+,309,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13490,NC_007793.1,2621113,2621346,-,234,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13495,NC_007793.1,2621327,2622520,-,1194,protein_coding,GCF_000013465.1,SAUSA300_2434,MFS transporter,NA
SAUSA300_RS15615,NC_007793.1,2622549,2622754,+,206,pseudogene,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS15620,NC_007793.1,2622904,2626250,-,3347,pseudogene,GCF_000013465.1,NA,LPXTG-anchored surface protein SasG,sasG
SAUSA300_RS13510,NC_007793.1,2626556,2626912,-,357,protein_coding,GCF_000013465.1,SAUSA300_2437,HTH-type transcriptional regulator SarT,sarT
SAUSA300_RS13515,NC_007793.1,2627241,2627984,+,744,protein_coding,GCF_000013465.1,SAUSA300_2438,HTH-type transcriptional regulator SarU,sarU
SAUSA300_RS13520,NC_007793.1,2628195,2629061,-,867,protein_coding,GCF_000013465.1,SAUSA300_2439,UTP--glucose-1-phosphate uridylyltransferase GalU,galU
SAUSA300_RS13525,NC_007793.1,2629241,2632063,-,2823,protein_coding,GCF_000013465.1,SAUSA300_2440,fibronectin-binding protein FnbB,fnbB
SAUSA300_RS13530,NC_007793.1,2632745,2635801,-,3057,protein_coding,GCF_000013465.1,SAUSA300_2441,fibronectin-binding protein FnbA,fnbA
SAUSA300_RS13535,NC_007793.1,2635785,2635886,-,102,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13540,NC_007793.1,2636026,2636238,-,213,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13545,NC_007793.1,2636270,2637628,-,1359,protein_coding,GCF_000013465.1,SAUSA300_2442,gluconate permease,NA
SAUSA300_RS13550,NC_007793.1,2637745,2639298,-,1554,protein_coding,GCF_000013465.1,SAUSA300_2443,gluconokinase,gntK
SAUSA300_RS13555,NC_007793.1,2639322,2640002,-,681,protein_coding,GCF_000013465.1,SAUSA300_2444,GntR family transcriptional regulator,NA
SAUSA300_RS13560,NC_007793.1,2640156,2640920,-,765,protein_coding,GCF_000013465.1,SAUSA300_2445,MerR family transcriptional regulator,NA
SAUSA300_RS13565,NC_007793.1,2641085,2641777,-,693,protein_coding,GCF_000013465.1,SAUSA300_2446,GTP pyrophosphokinase family protein,NA
SAUSA300_RS13570,NC_007793.1,2642008,2642424,-,417,protein_coding,GCF_000013465.1,SAUSA300_2447,DUF2188 domain-containing protein,NA
SAUSA300_RS13575,NC_007793.1,2642563,2644386,-,1824,protein_coding,GCF_000013465.1,SAUSA300_2448,FUSC family protein,NA
SAUSA300_RS13580,NC_007793.1,2644864,2646141,-,1278,protein_coding,GCF_000013465.1,SAUSA300_2449,MFS transporter,NA
SAUSA300_RS13585,NC_007793.1,2646688,2647299,+,612,protein_coding,GCF_000013465.1,SAUSA300_2450,DedA family protein,NA
SAUSA300_RS13590,NC_007793.1,2647308,2647406,-,99,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13595,NC_007793.1,2647396,2648559,-,1164,protein_coding,GCF_000013465.1,SAUSA300_2451,MFS transporter,NA
SAUSA300_RS13600,NC_007793.1,2648552,2649010,-,459,protein_coding,GCF_000013465.1,SAUSA300_2452,MarR family transcriptional regulator,NA
SAUSA300_RS15840,NC_007793.1,2649028,2649102,-,75,pseudogene,GCF_000013465.1,NA,HxlR family transcriptional regulator,NA
SAUSA300_RS15625,NC_007793.1,2649245,2649490,-,246,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13605,NC_007793.1,2649444,2650139,+,696,protein_coding,GCF_000013465.1,SAUSA300_2453,ATP-binding cassette domain-containing protein,NA
SAUSA300_RS13610,NC_007793.1,2650141,2650911,+,771,protein_coding,GCF_000013465.1,SAUSA300_2454,ABC transporter permease,NA
SAUSA300_RS13615,NC_007793.1,2651284,2653248,+,1965,protein_coding,GCF_000013465.1,SAUSA300_2455,"fructose-1,6-bisphosphatase",NA
SAUSA300_RS13625,NC_007793.1,2653766,2654671,+,906,protein_coding,GCF_000013465.1,SAUSA300_2456,membrane protein,NA
SAUSA300_RS13630,NC_007793.1,2654776,2655369,-,594,protein_coding,GCF_000013465.1,SAUSA300_2457,alpha/beta hydrolase,NA
SAUSA300_RS13635,NC_007793.1,2655391,2656359,-,969,protein_coding,GCF_000013465.1,SAUSA300_2458,ring-cleaving dioxygenase,NA
SAUSA300_RS13640,NC_007793.1,2656437,2656871,-,435,protein_coding,GCF_000013465.1,SAUSA300_2459,MarR family transcriptional regulator,NA
SAUSA300_RS13645,NC_007793.1,2657098,2657382,+,285,protein_coding,GCF_000013465.1,SAUSA300_2460,N-acetyltransferase,NA
SAUSA300_RS13650,NC_007793.1,2657553,2658359,+,807,protein_coding,GCF_000013465.1,SAUSA300_2461,VOC family protein,NA
SAUSA300_RS13655,NC_007793.1,2658479,2659150,-,672,protein_coding,GCF_000013465.1,SAUSA300_2462,NAD(P)H-dependent oxidoreductase,NA
SAUSA300_RS13660,NC_007793.1,2659420,2660412,+,993,protein_coding,GCF_000013465.1,SAUSA300_2463,D-lactate dehydrogenase,NA
SAUSA300_RS13665,NC_007793.1,2660661,2661461,-,801,protein_coding,GCF_000013465.1,SAUSA300_2464,HAD family hydrolase,NA
SAUSA300_RS13670,NC_007793.1,2661782,2662417,+,636,protein_coding,GCF_000013465.1,SAUSA300_2465,ATP-binding cassette domain-containing protein,NA
SAUSA300_RS13675,NC_007793.1,2662423,2663154,+,732,protein_coding,GCF_000013465.1,SAUSA300_2466,peptide ABC transporter permease,NA
SAUSA300_RS13680,NC_007793.1,2663314,2663934,-,621,protein_coding,GCF_000013465.1,SAUSA300_2467,class A sortase SrtA,srtA
SAUSA300_RS13685,NC_007793.1,2664128,2664619,+,492,protein_coding,GCF_000013465.1,SAUSA300_2468,N-acetyltransferase,NA
SAUSA300_RS13690,NC_007793.1,2665057,2665227,-,171,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13695,NC_007793.1,2665289,2665387,-,99,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13700,NC_007793.1,2665406,2666305,-,900,protein_coding,GCF_000013465.1,SAUSA300_2469,"L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha",sdaAA
SAUSA300_RS13705,NC_007793.1,2666319,2666999,-,681,protein_coding,GCF_000013465.1,SAUSA300_2470,"L-serine ammonia-lyase, iron-sulfur-dependent, subunit beta",sdaAB
SAUSA300_RS13710,NC_007793.1,2667002,2667997,-,996,protein_coding,GCF_000013465.1,SAUSA300_2471,PTS fructose transporter subunit IIC,NA
SAUSA300_RS13715,NC_007793.1,2668596,2668799,+,204,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13720,NC_007793.1,2668982,2669917,+,936,protein_coding,GCF_000013465.1,SAUSA300_2472,EamA family transporter,NA
SAUSA300_RS13725,NC_007793.1,2669999,2670967,-,969,protein_coding,GCF_000013465.1,SAUSA300_2473,alpha/beta hydrolase,NA
SAUSA300_RS13730,NC_007793.1,2671100,2671444,-,345,protein_coding,GCF_000013465.1,SAUSA300_2474,thioredoxin family protein,NA
SAUSA300_RS13735,NC_007793.1,2671486,2671896,-,411,protein_coding,GCF_000013465.1,SAUSA300_2475,acyl-CoA thioesterase,NA
SAUSA300_RS13740,NC_007793.1,2672276,2674342,-,2067,protein_coding,GCF_000013465.1,SAUSA300_2476,PTS glucoside EIICBA component,NA
SAUSA300_RS13745,NC_007793.1,2674643,2676382,-,1740,protein_coding,GCF_000013465.1,SAUSA300_2477,pyruvate oxidase,NA
SAUSA300_RS13750,NC_007793.1,2676429,2677118,-,690,protein_coding,GCF_000013465.1,SAUSA300_2478,LrgB family protein,NA
SAUSA300_RS13755,NC_007793.1,2677111,2677506,-,396,protein_coding,GCF_000013465.1,SAUSA300_2479,holin-like murein hydrolase modulator CidA,cidA
SAUSA300_RS13760,NC_007793.1,2677719,2678582,-,864,protein_coding,GCF_000013465.1,SAUSA300_2480,LysR family transcriptional regulator,NA
SAUSA300_RS13765,NC_007793.1,2678764,2678982,+,219,protein_coding,GCF_000013465.1,SAUSA300_2481,hypothetical protein,NA
SAUSA300_RS13770,NC_007793.1,2679371,2679802,+,432,protein_coding,GCF_000013465.1,SAUSA300_2482,CHAP domain-containing protein,NA
SAUSA300_RS13775,NC_007793.1,2680067,2680171,-,105,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS15845,NC_007793.1,2680418,2680565,-,148,pseudogene,GCF_000013465.1,NA,peptidase S8 and S53 subtilisin kexin sedolisin,NA
SAUSA300_RS13785,NC_007793.1,2680562,2680819,-,258,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13790,NC_007793.1,2681398,2682675,-,1278,protein_coding,GCF_000013465.1,SAUSA300_2483,"hydroxymethylglutaryl-CoA reductase, degradative",NA
SAUSA300_RS13795,NC_007793.1,2682929,2684095,+,1167,protein_coding,GCF_000013465.1,SAUSA300_2484,hydroxymethylglutaryl-CoA synthase,NA
SAUSA300_RS13800,NC_007793.1,2684265,2684786,-,522,protein_coding,GCF_000013465.1,SAUSA300_2485,methylated-DNA--[protein]-cysteine S-methyltransferase,NA
SAUSA300_RS13805,NC_007793.1,2685195,2687300,+,2106,protein_coding,GCF_000013465.1,SAUSA300_2486,ATP-dependent Clp protease ATP-binding subunit,NA
SAUSA300_RS13810,NC_007793.1,2687369,2687539,-,171,protein_coding,GCF_000013465.1,NA,FeoB-associated Cys-rich membrane protein,NA
SAUSA300_RS13815,NC_007793.1,2687552,2689546,-,1995,protein_coding,GCF_000013465.1,SAUSA300_2487,ferrous iron transport protein B,feoB
SAUSA300_RS13820,NC_007793.1,2689558,2689785,-,228,protein_coding,GCF_000013465.1,SAUSA300_2488,ferrous iron transport protein A,NA
SAUSA300_RS13825,NC_007793.1,2690001,2692469,-,2469,protein_coding,GCF_000013465.1,SAUSA300_2489,fatty acid efflux MMPL transporter FarE,NA
SAUSA300_RS13830,NC_007793.1,2692635,2693183,+,549,protein_coding,GCF_000013465.1,SAUSA300_2490,fatty acid efflux pump transcriptional regulator FarR,NA
SAUSA300_RS13835,NC_007793.1,2693260,2693427,-,168,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13840,NC_007793.1,2693539,2695083,-,1545,protein_coding,GCF_000013465.1,SAUSA300_2491,L-glutamate gamma-semialdehyde dehydrogenase,pruA
SAUSA300_RS13845,NC_007793.1,2695273,2695872,-,600,protein_coding,GCF_000013465.1,SAUSA300_2492,sugar O-acetyltransferase,NA
SAUSA300_RS13850,NC_007793.1,2696111,2696302,+,192,protein_coding,GCF_000013465.1,SAUSA300_2493,hypothetical protein,NA
SAUSA300_RS13855,NC_007793.1,2696542,2698950,+,2409,protein_coding,GCF_000013465.1,SAUSA300_2494,copper-translocating P-type ATPase,NA
SAUSA300_RS13860,NC_007793.1,2699241,2699447,+,207,protein_coding,GCF_000013465.1,SAUSA300_2495,copper chaperone CopZ,copZ
SAUSA300_RS13865,NC_007793.1,2699537,2700535,-,999,protein_coding,GCF_000013465.1,SAUSA300_2496,D-lactate dehydrogenase,NA
SAUSA300_RS13870,NC_007793.1,2700558,2701712,-,1155,protein_coding,GCF_000013465.1,SAUSA300_2497,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,NA
SAUSA300_RS13875,NC_007793.1,2702139,2703647,-,1509,protein_coding,GCF_000013465.1,SAUSA300_2498,NAD(P)/FAD-dependent oxidoreductase,NA
SAUSA300_RS13880,NC_007793.1,2703659,2704522,-,864,protein_coding,GCF_000013465.1,SAUSA300_2499,phytoene/squalene synthase family protein,NA
SAUSA300_RS13885,NC_007793.1,2704559,2705686,-,1128,protein_coding,GCF_000013465.1,SAUSA300_2500,"4,4'-diaponeurosporenoate glycosyltransferase",NA
SAUSA300_RS13890,NC_007793.1,2705692,2707185,-,1494,protein_coding,GCF_000013465.1,SAUSA300_2501,NAD(P)/FAD-dependent oxidoreductase,NA
SAUSA300_RS13895,NC_007793.1,2707178,2707666,-,489,protein_coding,GCF_000013465.1,SAUSA300_2502,"glycosyl-4,4'-diaponeurosporenoate acyltransferase",crtO
SAUSA300_RS13900,NC_007793.1,2707841,2708608,-,768,protein_coding,GCF_000013465.1,SAUSA300_2503,CHAP domain-containing protein,NA
SAUSA300_RS13905,NC_007793.1,2708969,2710780,-,1812,protein_coding,GCF_000013465.1,SAUSA300_2504,O-acetyltransferase OatA,NA
SAUSA300_RS13910,NC_007793.1,2711291,2711779,-,489,protein_coding,GCF_000013465.1,SAUSA300_2505,GNAT family N-acetyltransferase,NA
SAUSA300_RS13915,NC_007793.1,2712055,2712756,-,702,protein_coding,GCF_000013465.1,SAUSA300_2506,lytic transglycosylase IsaA,isaA
SAUSA300_RS13920,NC_007793.1,2713364,2714419,-,1056,protein_coding,GCF_000013465.1,SAUSA300_2507,PTS transporter subunit IIC,NA
SAUSA300_RS15630,NC_007793.1,2714546,2714674,-,129,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS13930,NC_007793.1,2714829,2715398,+,570,protein_coding,GCF_000013465.1,SAUSA300_2509,TetR/AcrR family transcriptional regulator,NA
